lat        lon     score
937   12.980951  77.608344  0.806993
825   12.967709  77.648150  0.761740
1206  13.011850  77.553611  0.717860
652   12.950053  77.583466  0.691903
1058  12.994194  77.613320  0.674483
1129  13.003022  77.568539  0.666908
746   12.958881  77.653126  0.605129
799   12.963295  77.717810  0.580235
1142  13.003022  77.633223  0.578351
132   12.892670  77.583466  0.578351
839   12.967709  77.717810  0.555226
614   12.945639  77.593417  0.554542
342   12.914740  77.633223  0.546185
426   12.923568  77.653126  0.545567
804   12.967709  77.543660  0.545567
990   12.985365  77.673029  0.545567
651   12.950053  77.578490  0.545091
798   12.963295  77.712835  0.545091
721   12.958881  77.528733  0.542568
660   12.950053  77.623272  0.521470
